𠆭	⿳亼一α
𨳥	⿵門⿰⿹㇇丶⿺乀丿
𩆫	⿳雨⿰⿹㇇丶⿺㇇乀⿱田⿰⿰⿱一𠃊㇓⿰⿱𠃍一乀
𩐔	⿰王⿳⿻卄口⿰⿹㇇丶⿺㇇乀韭
𩽃	⿰魚⿳艹⿰夕⿺㇇乀米
𫊀	⿳艹宀⿱⿰⿴𠂊冫⿺㇇乀且
𫠦	⿱一⿲丨⿰丶㇓亇
𫤰	⿳⿲⿰丨丨⿹⿺一㇉丿彐一八
𫫱	⿰口⿱⿰⿴𠂊冫⿺㇇乀虫
𫹆	⿳⿻𠃊𠃍冖⿳一由八
𫺙	⿰忄⿳⿰〢⿹⿺一㇉丿一八
𬅌	⿰象⿱⿰⿱丿𠃊コ木
𬝢	⿳艹⿰⿴𠂊冫⿺㇇乀天
𬵼	⿰⿱⿲⿱丿𠄌冈コ卝⿱吕魚
𬼗	⿸⿱丿𠄌乚
𬼺	⿳丷コ⿻冖⿻亅丿
𭀟	⿱⿸⿱一丨人兀
𭁟	⿵冂⿱一丨
𭂪	⿰⿱丿𠄌几
𭅴	⿱⿺一㇉卜
𭆱	⿰⿱正⿺一㇉及
𭊰	⿰口⿸虍⿹⿺一㇉灬
𭓕	⿳⿲⿰丨丨⿹⿺一㇉丿彐冖子
𭔥	⿰寧⿹⿺一㇉灬
𭛄	⿰弓⿸⿱⺊⿰乛㇓⿻𪠥丿
𭟩	⿰忄⿱雔⿰夕⿺㇇乀
𭟷	⿰⿱⿰⿹㇇丶⿺㇇乀示戈
𭦁	⿱日⿸⿰乛㇓⿱七几
𭩩	⿰木⿸⿱丿𠄌⿹⿻乛丨丿
𭩲	⿱⿹弓⿻亅丿木
𭬍	⿰木⿸⿱⺊⿰乛㇓⿱儿言
𭮟	⿰歹⿱𤰔⿹⿺一㇉灬
𭱐	⿲氵⿸⿱⺊⿰乛㇓廾刂
𭳛	⿰氵⿱⿻𠃊𠃍𡩟
𭴚	⿱⿸㇇⿱一一⿹⿺一㇉灬
𭼿	⿵⿰夕⿺㇇乀日
𭾽	⿱⿰⿴𠂊冫⿺丶乀𥃰
𮅏	⿱竹⿻コ⿻冖⿻亅丿
𮈏	⿱⿰⿴𠂊冫⿺㇇乀糸
𮉺	⿱⿶⿱𦥑冖⿹⿺一㇉丿缶
𮒿	⿳艹⿰⿴𠂊冫⿺㇇乀魚
𮓗	⿸⿱⺊⿰乛㇓土
𮓝	⿸⿱⺊⿰乛㇓⿱匕龰
𮓢	⿸⿱⺊⿰乛㇓䏌
𮣅	⿰金⿱⿰夕⿺㇇乀貝
𮫘	⿱⿶⿱𦥑冖⿹⿺一㇉丿⿰鬯彡
㨮	⿰扌⿱⿲⿱丿𠃊白コ几
𥚚	⿰礻⿸⿱⺊⿰乛㇓⿱㐅儿
不	⿱一⿸⿸丿丨丶
乌	⿹⿺⿰丿𠃌㇉一
劉	⿰⿱⿰⿺⿱丿𠄌丶刀金刂
北	⿰⿰丨⿱一㇀匕
印	⿰⿷⿱丿𠄌一卩
在	⿸⿱⿻一丿丨土
存	⿸⿱⿻一丿丨子
延	⿺廴⿱丿⿺⿰丨一𠃊
斵	⿰⿱⿰⿺⿱丿𠄌丶刀亞斤
留	⿱⿰⿺⿱丿𠄌丶刀田
糹	⿱幺⿲丶丶丶
羲	⿱𦍌⿻⿱禾丂⿺⿻𠄌丿丶
裦	⿳亠⿰⿷⿱丿𠃊一矛𧘇
褎	⿳亠⿰⿷⿱丿𠃊一禾𧘇
褏	⿳亠⿰⿷⿱丿𠄌一由𧘇
襃	⿳亠⿰⿷⿱丿𠃊一呆𧘇
貿	⿱⿰⿺⿱丿𠄌丶刀貝
贸	⿱⿰⿺⿱丿𠄌丶刀贝
赱	⿱土⿱⿰丶丿乁
韲	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀韭
齊	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀⿲丿二丨
㢟	⿺廴⿺⿰丨一𠃊
䐡	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀肉
北	〾⿰⿰丨⿱一㇀匕
不	〾⿱一⿸⿸丿丨丶
劉	〾⿰⿱⿰⿺⿱丿𠄌丶刀金刂
留	〾⿱⿰⿺⿱丿𠄌丶刀田
𠂩	⿰⿷⿱丿𠃊一⿷⿱丿𠃊一
𠃤	⿱⿷⿱丿𠃊一𫶧
𠆈	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀⿵冂女
𠆗	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀合
𠆜	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀妻
𠙧	⿱⿲⿷⿱丿𠃊一白コ几
𠙿	⿶凵⿱⿲㇍丨一一
𠚟	⿱⿳丿⿻一中冖⿱⿰夕⿺⿱丶丶乀𠙼
𠝈	⿱⿰⿺⿱丿𠄌丶刀𠂡
𠣏	⿹勹⿺⿰丨一𠃊
𠨝	⿰⿱⿷⿱丿𠃊一心卩
𠬊	⿰⿱厶⿲丶丶丶参
𠯁	⿱口⿱⿰丶丿乁
𡅁	⿰口⿱⿱亠⿲刀丫⿷⿱丿𠄌乀果
𡉈	〾⿸〾扌土
𡎓	⿱𪢴⿰⿲丶丶丶⿲丶丶丶
𡖗	⿰⿱夕⿲丶丶丶⿱人二
𡗃	⿰⿱夕⿲丶丶丶⿱勿⿰⿷匚一⿷匚一
𡫮	⿱宀⿳⿰工工⿰夕⿺⿱丶丶乀仌
𡳟	⿸局⿰⿷⿱丿𠃊一⿺乚日
𡶳	⿱⿰刀⿷⿱丿𠄌乀⿱一山
𢁤	⿰巾⿷⿱丿𠄌乀
𢄖	⿳由⿰𠂈⿺⿱丶丶乀巾
𢇖	⿳𢆶㐫⿲犭夭⿻二乚
𢇭	⿸广⿸丶⿱⿰丶丿乁
𢋪	⿸⿸广⿻コ⿰丨丨⿱八⿲⿷⿱丿𠃊一乂彐
𢏻	⿰⿹⿱𠂊⿺⿱𠃍一㇉㇀⿹弓⿱丿丿
𢫂	⿰扌⿻凵⿻亅⿰㇇乀
𢽯	⿰⿳亠夕⿲丶丶丶攵
𢽺	⿰⿱玄⿲丶丶丶攵
𣃃	⿰⿱⿰⿺⿱丿𠄌丶刀豆斤
𣌀	⿰日⿱𦍌⿻秀⿺⿻𠄌丿丶
𣠀	⿳⿻一中冖⿱⿰夕⿺⿱丶丶乀杲
𣢔	⿰⿷⿱丿𠃊一欠
𣥒	⿱⿹⿹𠃍丨一止
𣸼	⿰氵⿸厂⿱日⿲丶丶丶
𤁜	⿰氵⿱⿱亠⿲刀丫⿷⿱丿𠄌乀牛
𤌵	⿰火⿱爫⿴⿱⿰⿱丿丨𠃍一人
𤓚	⿰火⿳𦍌⿻秀⿺⿻𠄌丿丶灬
𤚶	⿰⿱夕⿲丶丶丶⿱勿牛
𤦨	⿱⿰⿷⿱丿𠃊一井玉
𤱫	⿱由⿰⿷⿱丿𠃊一人
𥁚	⿱⿰⿺⿱丿𠄌丶刀皿
𥄤	⿰⿷⿱丿𠃊一目
𥋮	⿰目⿱⿰夕⿺⿱丶丶乀言
𥎇	⿰矛⿳⿻⿰丨丨一日亾
𥒛	⿰石⿱⿷⿱丿𠄌乀𠫔
𦂵	⿲糹彳⿱䒑⿱⿰丶丿乁
𦈢	⿱𠂉⿻一⿺⿰丨一𠃊
𦍖	⿰𦍍⿷⿱丿𠄌乀
𦠃	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀⿲丿月丨
𦠕	⿳⿱亠⿲刀丫⿷⿱丿𠄌乀口肉
𦥑	⿰⿷⿱丿𠃊一彐
𦥓	⿴⿱⿰⿱丿丨𠃍一㐅
𦦏	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀臼
𦧁	⿳⿶⿱𦥑冖同⿰夕⿺⿱丶丶乀奉
𦬌	⿱艹⿹⿻𠃌丨丿
𦰑	⿳艹⿰⿺⿱丿𠄌丶刀又
𦺅	⿳艹⿱亠⿲刀丫⿷⿱丿𠄌乀⿲丿⿳从一韭丨
𧅠	⿳艹⿱亠⿲刀丫⿷⿱丿𠄌乀䀠
𧅱	⿳艹⿱亠⿲刀丫⿷⿱丿𠄌乀⿶凵⿱一韭
𧆧	⿸虍⿰⿷⿱丿𠃊一儿
𧆩	⿸虍⿰⿷⿱丿𠃊一人
𧓟	⿱⿰⿷⿱丿𠃊一⿺乚日䖵
𧔠	⿰虫⿱⺸⿻⿱禾丂⿺⿻𠄌丿丶
𧜪	⿳亠⿰⿷⿱丿𠃊一⿱𠂊田𧘇
𧝾	⿳亠⿰⿷⿱丿𠃊一⿱爫𠙻𧘇
𧢗	⿰⿱⿰⿺⿱丿𠄌丶刀亞見
𧨥	⿰言⿱⿷⿱丿𠄌乀日
𧳱	⿰豸⿱⿴⿱⿰⿱丿丨𠃍一丨儿
𧴷	⿰貝⿱一⿰⿺丨𠃊丿
𧷔	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀貝
𨁳	⿰𧾷⿹⿺⿱𠃍一㇉方
𨞌	⿰⿱⿰⿺⿱丿𠄌丶刀豆阝
𨢞	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀酉
𨼻	⿰阝⿱⿱亠⿲刀丫⿷⿱丿𠄌乀女
𨽆	⿰阝⿱⿰⿴𠂊冫⿺⿱丶丶乀豆
𩍫	⿰革⿳爫⿲⿰丨⿱一㇀几㔾夂
𩐓	⿳⿱亠⿲刀丫⿷⿱丿𠄌乀土韭
𩝦	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀食
𩹵	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀⿲丿魚丨
𪆱	⿰⿱⿰⿺⿱丿𠄌丶刀金鳥
𪔉	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀鼎
𪗄	⿱⿻十⿰夕⿷⿱丿𠄌乀⿲丿二丨
𪗎	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀⿵几頁
𪗐	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀𭍳
𪙔	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀齒
𪙯	⿳亠⿸⿱⿻一丿丨⿰丨⿱亠龶齒
𪚎	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀𪙹
𫞓	⿸⿱止丿⿰示⿺⿻𠄌丿丶
𫞴	⿱⿰夕⿺⿱丶丶乀示
𬞂	⿳艹⿰⿴𠂊⺀⿺⿱丶丶乀天
𬪹	⿳𭯍⿻⿱一丨𠃍酉
𬺶	〾〾⿱一⿰⿺丨𠃊亅
𬻈	⿱⿱⿹𠃍丨一⿱⿹𠃍丨一
𬻥	⿱⿰龶龶⿱⿹𠃍丨一
𬻷	⿰⿸⿰⿱𠃍一丨二⿱コ⿱⿰丶丿乁
𬽒	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀二
𭅊	⿹勹⿱䒑⿺⿰丨一𠃊
𭎕	⿱土⿰⿻⿱丿丿丶⿰𠄌⿺乀丿
𭔌	⿱㝉⿻乚⿰⿷⿱丿𠃊一日
𭟶	⿰𦙃⿺⿻𠄌丿丶
𭟺	⿻𭦙⿺⿻𠄌丿丶
𮊫	⿱𦍌⿰禾⿺⿻𠄌丿丶
𮋡	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀而
𮎳	⿱⿻卄口⿰⿱一丨𠃌
𮔰	⿱⿱亠⿲刀丫⿷⿱丿𠄌乀虫
𮛷	⿰𧾷⿱⿰⿴𠂊⺀⿺⿱丶丶乀丁
𮝉	⿱⿰⿺⿱丿𠄌丶刀車
𮮺	⿳亠⿲尸亻⿷⿱丿𠄌乀⿲丿二丨
𮮻	⿳亠⿲刀弓⿷⿱丿𠄌乀⿲丿二丨
𮮼	⿳亠⿲尸丫⿷⿱丿𠄌乀日
业	⿱⿻⿰丨丨⿰丶丿一
严	⿳一⿻⿰丨丨⿰丶丿厂
亙	⿳一⿵⿰丨𠃍⿱丶丶一
亦	⿱亠⿻⿰丿亅⿰丿丶
亷	⿸产⿻⿻コ一⿻⿰丨丨⿰丿乀
兼	⿱䒑⿻⿻コ一⿻⿰丨丨⿰丿乀
凫	⿹⿴⿺⿰丿𠃌㇉丶几
囬	⿴囗⿴⿰丨丨⿱一一
埓	⿰土⿱⿴⿱丿丿⿰丶丶寸
岛	⿹⿴⿺⿰丿𠃌㇉丶山
旅	⿰方⿱𠂉⿷⿱丿𠄌⿺丿乀
枭	⿹⿴⿺⿰丿𠃌㇉丶木
玈	⿰玄⿱𠂉⿷⿱丿𠄌⿺丿乀
祣	⿰礻⿱𠂉⿷⿱丿𠄌⿺丿乀
袅	⿹⿴⿺⿰丿𠃌㇉丶衣
赤	⿱土⿻⿰丿亅⿰丿丶
長	⿳⿸⿱一丨⿱一一一⿰𠄌⿺乀丿
镸	⿱⿸⿱一丨⿱一一𠫔
雋	⿱隹⿲丨⿱㇍丨𠃌
髙	⿳亠⿴⿰丨丨⿱一一冋
鸟	⿹⿴⿺⿰丿𠃌㇉丶一
㒫	⿱⿱⿱一丨⿱一一儿
㢳	⿰弓⿱𠂉⿷⿱丿𠄌⿺丿乀
㭚	⿰木⿱𠂉⿷⿱丿𠄌⿺丿乀
䝉	⿳⿻⿰丨丨⿰丶丿冖豕
䮉	⿰馬⿱𠂉⿻⿰丨丨⿰丿乀
旅	〾⿰方⿱𠂉⿻⿰丨丨⿰丿乀
𠀜	〾⿳一⿻⿰丨丨⿰丿丶一
𠂜	⿱丿⿻⿰丨一⿰丨一
𠂢	⿸𠂆⿷⿱丿丨⿺丿乀
𠂮	〾⿸𠂆⿻⿺⿱一丨𠃊乙
𠄣	〾〾⿳一⿵⿰丨𠃍⿱丿丿一
𠅘	⿱⿳亠⿴⿰丨丨⿱一一冖丁
𠅙	⿱⿳亠⿴⿰丨丨⿱一一冖儿
𠅢	⿱⿳亠⿴⿰丨丨⿱一一冖乇
𠇇	⿰亻⿺⿻二α丶
𠇊	〾⿰亻⿷⿱丿𠄌⿺丿乀
𠈧	⿰亻⿱⿲丨⿱㇍丨𠃍又
𠋰	⿰亻⿹𢦏⿻⿰丿亅⿰丿丶
𠑿	⿱⿸⿱丿丨⿱一一兀
𠔐	⿱⿳一⿴⿰丨丨⿱一一一八
𠖣	⿱冖⿰⿱⿱⺊⿴囗⿻⿱丿丿⿰乀乀土火
𠖦	⿱冖⿰⿳弓⿴囗⿻⿱丿丿⿰乀乀土示
𠡅	⿰⿻⿻⿱一𠃊亅丿力
𠨸	⿸厂⿷⿱丿𠄌⿺丿乀
𠪕	⿳一丷⿻⿻厂⿻⿰丨丨⿰丿丶コ
𠮁	⿰𣏂⿱⿲丨⿱㇍丨𠃍又
𠯶	⿹⿻⿱⿱𠃍一𠃊𠃌口
𠻏	⿰口⿹𢦏⿻⿰丿亅⿰丿丶
𡂦	⿱⿻⿳一⿰丨丨一吅⿵冂夻
𡊐	⿰土⿲丨⿱㇍丨𠃌
𡕣	⿳⿸⿱一丨⿱一一一夊
𡙏	⿱⿱⺊⿴囗⿻⿱丿丿⿰乀乀大
𡜅	⿰女⿱𠂉⿻⿰丨丨⿰丿乀
𡡄	⿰女⿳艹⿱⿸一丨⿱一一𫶧
𡦦	⿰⿳亠⿴⿰丨丨⿱一一子⿱丸火
𡧧	⿳宀⿵⿰丨𠃍⿱丶丶一
𡯼	⿰⿹⿺⿸⿱一丨一㇉灬尤
𡴧	⿳屮⿰止⿻⿰丨一⿰丨一⿱人亡
𡶓	⿱⿲丨⿱㇍丨𠃌山
𡷊	⿹⿻⿴⿺⿰丿𠃌㇉丶一山
𡿰	⿱⿱⿱一丨⿱一一巛
𡿴	⿱⿱⿸⿱一丨⿱一一一巛
𢈘	⿸广⿻コ⿻⿰丨丨⿰丿乀
𢡍	⿰忄⿳一口⿵𦉪丅
𢡤	⿰忄⿳一⿴⿰丨丨⿱一一⿵𦉪干
𢬜	⿰扌⿱𠂉⿷⿱丿𠄌⿺丿乀
𢳌	⿰扌⿳艹土⿰⿹⿱丶𠃌㇇乚
𢶽	⿲扌阝⿱⿴⿱丿丿⿰丶丶臼
𣈌	⿱⿰⿻丶大木日
𣘺	⿰木⿳𠂉⿴⿰丨丨⿱一一冋
𣤀	⿰⿱⿸⿱一丨⿱一一而欠
𣥄	⿱一⿻⿰丨一⿰丨一
𣥓	⿹⿱⿰⿰丨一丨乙止
𣥗	⿱止⿻⿰丨一⿰丨一
𣥠	⿰⿻⿰丨一⿰丨一止
𣪃	⿰⿸⿱⿱𠃍一㇓𠃍殳
𣫛	⿰⿱⿳亠口冖豕殳
𣳋	⿰氵⿱一⿻⿰丨𠃊⿰丨一
𣽐	⿰氵⿳一⿴⿰丨丨⿱一一⿵冂𢆉
𤅌	⿰氵⿱⿴𦥑囟⿸厂⿱一⿻⿺⿱一丨𠄌乙
𤓷	⿺爪⿻⿳𠃍一㇞乀
𤗣	⿰片⿱⿻十⿻⿻一𠃊𠃎木
𤤃	⿰王⿰丨三
𤱖	⿱甶⿻⿺⿱一丨𠄌乙
𤱮	⿳甶丿⿷⿱丿𠄌⿺丿乀
𤵑	⿸疒⿷⿱丿𠄌⿺丿乀
𥆴	⿱⿰⿻丶大寸目
𥠤	⿳亠⿴囗⿻⿱丿丿⿰乀乀禾
𥩷	⿰立⿱𠂉⿷⿱丿𠄌⿺丿乀
𥲓	⿳竹⿳一⿸⿱一丨⿱一一冈王
𥵭	⿳竹⿳亠⿸⿱一丨⿱一一冈王
𦈮	⿰缶⿱一⿻⿰丨𠃊⿰丨一
𦍛	⿱𦍌⿰⿹⿱丶𠃌㇇乚
𦕁	⿰⿰彐𠄌耳
𦭢	⿳艹一⿻⿰丨𠃊⿰丨一
𦯤	⿳艸大⿸⿱一丨⿱一一
𦱼	⿱艹⿸厂⿰丿⿱⿳𠃑一丨乙
𧏁	⿺⿸𠂋⿰⿺丨𠄌⿱丿乀⿱虫土
𧓚	⿱⿳亠⿴⿰丨丨⿱一一冖䖵
𧖁	⿱⿳亠⿴⿰丨丨⿱一一冖蟲
𧢉	⿰⿱⿴⿱丿丿⿰丶丶⿰丨⿱⿻⿱丶三丨一見
𧦮	⿰言⿻⿳𠃍一㇞乀
𧩽	⿰言⿳亠⿴⿰丨丨⿱一一子
𧰶	⿰豕⿲丨⿱㇍丨𠃌
𧱊	⿰豕⿵⿲丨⿱㇍丨𠃌又
𧹘	⿱龷⿻⿰丿亅⿰丿丶
𨒎	⿺辶⿺三𠃊
𨛞	⿰⿱⿱⿱一丨⿱一一𫶧阝
𨤾	⿱人⿳⿱⿱一丨⿱一一⺌一
𨭀	⿰金⿳一⿴⿰丨丨⿱一一⿵冂𢆉
𨻛	⿰阝⿳一⿴⿰丨丨⿱一一冋
𨻯	⿰阝⿱⿸⿱一丨⿱一一豆
𨼛	⿰阝⿳亠⿴⿰丨丨⿱一一⿱㓁丁
𨼺	⿰阝⿱米⿰夕⿰丨三
𩔿	⿰⿷匸⿳中一⿻⿰丿亅⿰丿丶頁
𩛖	⿰⿱亼⿺⿱𠃍一⿺𠄌丶安
𩨶	⿰骨⿱丿⿷⿱丿𠄌⿺丿乀
𩰽	⿰⿳一⿴⿰丨丨⿱一一⿵冂𢆉夋
𪑄	⿰黑⿱𠂉⿷⿱丿𠄌⿺丿乀
𪝫	⿰亻⿳一⿻⿰丨丨⿰丶丿取
𪵯	⿰氵⿴⿱丿丿⿰丶丶
𫎇	⿱⿻⿰丨丨⿰丶丿冡
𫓕	⿰金⿳亠⿴⿰丨丨⿱一一⿴皿二
𫝖	⿸厃⿻コ⿻⿰丨丨⿰丿乀
𫞏	⿰木⿱⿸𠂇⿴⿰丨丨⿱一一冋
𫢁	⿱⿳亠⿴⿰丨丨⿱一一口京
𫬯	⿳⿲⿷匚一⿱古八⿹勹丿人⿸⿱丿㇓⿻二𠄌
𫵩	⿸尸⿰彳⿳一⿴⿰丨丨⿱一一⿵冂𢆉
𫸪	⿰弓⿱⿳一𠃑一𠄌
𫹲	⿱⿻⿱一𠃊儿心
𬖧	⿱米⿳口⿴⿰丨丨⿱一一丅
𬙸	⿱⿳亠⿴⿰丨丨⿱一一口羊
𬞹	⿱艹⿳亠⿴⿰丨丨⿱一一⿵冂米
𬴘	⿳亠⿴⿰丨丨⿱一一⿳口⿴⿰丨丨⿱一一丅
𬻑	⿱𠚤⿴⿱𠃍一⿻丨丶
𬻔	⿱一⿰⿴⿻⿰丨𠃌㇀丶⿱𠂉丶
𬻘	⿱⿴⿱𠃍一⿻丨丶⿴⿱𠃍一⿻丨丶
